成品代號,成品名稱
133AN001,原味蘇打餅20gX50小包X2袋(紅)
133AN001A,原味蘇打餅20gX50小包X2袋(黃)
133AN001B,原味蘇打餅20gX50小包X2袋(藍)
133AN002,原味蘇打餅152gX10盒
133AN003,原味營養餅168gX10盒
133AN004,迷你蘇打-鹽味120gX20包
133AN005,迷你營養餅120gX20包
133AU001,酵母覺醒-紫菜青蔥蘇打餅280gX10包
133AU003,酵母覺醒-紫菜青蔥蘇打餅260gX6包
133AU008,濃厚紫菜青蔥蘇打1525g/盒
133AU009,酵母覺醒-紫菜青蔥蘇打餅150gX10包
133BC001,黑芝麻蘇打餅20gX50小包X2袋(橙)
133BC001B,黑芝麻蘇打餅20gX50小包X2袋(白)
133BD001,海苔鹽迷你蘇打餅150gX10包
133BD002,海苔鹽迷你蘇打餅120gX20包
133BD004,海苔鹽蘇打餅(垂坤版)150gX50包
133BD005,盛香珍Mini蘇打-海苔鹽50gX10包X6組
133BN001,奶油起司酥餅280gX10包
133BN002,奶油起司酥餅150gX10包
133CJ001,酵母覺醒-蜜糖蘇打餅300gX10包
133DD001,濃厚青蔥迷你蘇打餅120gX20包
133DD002,盛香珍Mini蘇打-青蔥50gX10包X6組
133DD003,酵母覺醒-青蔥蘇打餅280gX10包
133DE001,酵母覺醒-胡椒蘇打餅280gX10包
133DE002,椒麻迷你蘇打餅150gX10包
133DE003,酵母覺醒-胡椒蘇打餅260gX6包
133DE004,椒麻迷你蘇打餅120gX20包
133DE005,酵母覺醒-胡椒蘇打餅150gX10包
133DE006,胡椒蘇打餅1525g/盒
133DE007,(魷魚遊戲2)迷你蘇打餅-胡椒120gX20包
433AU002,酵母覺醒-紫菜青蔥蘇打餅500gX5包
433BN002,奶油起司酥餅500gX5包
433DD001,迷你蘇打餅-青蔥1800gX2袋
918AU068B,(半)海苔鹽迷你蘇打餅120g(以包計)
119AA011,草莓風味捲心酥收納罐375gX12罐
119AC001,皇家威化捲-清香檸檬140gX10盒
119AD012,皇家威化捲-香濃巧克力140gX10盒
119AD016,純黑巧克力捲心酥禮盒480gX6盒
119AD018,捲心酥收納罐-純黑巧克力375gX12罐
119AD019,巧克力風味捲心酥140gX10盒
119AE001,爆漿大甲芋頭捲心酥135gX10盒
119AG006,咖啡捲心酥140gX10盒
119CZ003,Soma茶歐蕾捲心酥80gX12盒
319AD016,(王品)巧克力風味捲心酥70gX20包
319AH004,(台酒)紅麴捲心酥-牛奶400gX12罐
919AA006,(半)歐式午茶禮盒-草莓捲心酥(以包計)85g
106AD017,熔漿夾心曲奇-巧克力風味160gX12盒
106AD021A,法式熔漿巧克力風味夾心曲奇(2024年版)85gX10包
106AD022,(量)熔漿巧克力夾心曲奇85gX10包
106AE001,大甲芋頭酥夾心曲奇85gX10盒
106AN014A,斯娜普蛋酥(2020年版)30gX24包
106AN015,斯娜普蛋酥130gX12包
106AN016A,斯娜普蛋酥165gX10包
