品號,品名,中類名稱,貨品規格,庫位
133AN001,原味蘇打餅20gX50小包X2袋(紅),蘇打餅,蘇打餅包裝,A1
133AN001A,原味蘇打餅20gX50小包X2袋(黃),蘇打餅,蘇打餅包裝,A2
133AN001B,原味蘇打餅20gX50小包X2袋(藍),蘇打餅,蘇打餅包裝,A3
133AN002,原味蘇打餅152gX10盒,蘇打餅,蘇打餅包裝,A4
133AN003,原味營養餅168gX10盒,蘇打餅,蘇打餅包裝,A5
133AN004,迷你蘇打-鹽味120gX20包,蘇打餅,蘇打餅包裝,A6
133AN005,迷你營養餅120gX20包,蘇打餅,蘇打餅包裝,A7
133AU001,酵母覺醒-紫菜青蔥蘇打餅280gX10包,蘇打餅,蘇打餅包裝,A8
133AU003,酵母覺醒-紫菜青蔥蘇打餅260gX6包,蘇打餅,蘇打餅包裝,A9
133AU008,濃厚紫菜青蔥蘇打1525g/盒,蘇打餅,蘇打餅包裝,A10
133AU009,酵母覺醒-紫菜青蔥蘇打餅150gX10包,蘇打餅,蘇打餅包裝,A11
133BC001,黑芝麻蘇打餅20gX50小包X2袋(橙),蘇打餅,蘇打餅包裝,A12
133BC001B,黑芝麻蘇打餅20gX50小包X2袋(白),蘇打餅,蘇打餅包裝,A13
133BD001,海苔鹽迷你蘇打餅150gX10包,蘇打餅,蘇打餅包裝,A14
133BD002,海苔鹽迷你蘇打餅120gX20包,蘇打餅,蘇打餅包裝,A15
133BD004,海苔鹽蘇打餅(垂坤版)150gX50包,蘇打餅,蘇打餅包裝,A16
133BD005,盛香珍Mini蘇打-海苔鹽50gX10包X6組,蘇打餅,蘇打餅包裝,A17
133BN001,奶油起司酥餅280gX10包,蘇打餅,蘇打餅包裝,A18
133BN002,奶油起司酥餅150gX10包,蘇打餅,蘇打餅包裝,A19
133CJ001,酵母覺醒-蜜糖蘇打餅300gX10包,蘇打餅,蘇打餅包裝,A20
133DD001,濃厚青蔥迷你蘇打餅120gX20包,蘇打餅,蘇打餅包裝,A21
133DD002,盛香珍Mini蘇打-青蔥50gX10包X6組,蘇打餅,蘇打餅包裝,A22
133DD003,酵母覺醒-青蔥蘇打餅280gX10包,蘇打餅,蘇打餅包裝,A23
133DE001,酵母覺醒-胡椒蘇打餅280gX10包,蘇打餅,蘇打餅包裝,A24
133DE002,椒麻迷你蘇打餅150gX10包,蘇打餅,蘇打餅包裝,A25
133DE003,酵母覺醒-胡椒蘇打餅260gX6包,蘇打餅,蘇打餅包裝,A26
133DE004,椒麻迷你蘇打餅120gX20包,蘇打餅,蘇打餅包裝,A27
133DE005,酵母覺醒-胡椒蘇打餅150gX10包,蘇打餅,蘇打餅包裝,A28
133DE006,胡椒蘇打餅1525g/盒,蘇打餅,蘇打餅包裝,A29
133DE007,(魷魚遊戲2)迷你蘇打餅-胡椒120gX20包,蘇打餅,蘇打餅包裝,A30
433AU002,酵母覺醒-紫菜青蔥蘇打餅500gX5包,蘇打餅,蘇打餅包裝,A31
433BN002,奶油起司酥餅500gX5包,蘇打餅,蘇打餅包裝,A32
433DD001,迷你蘇打餅-青蔥1800gX2袋,蘇打餅,蘇打餅包裝,A33
918AU068B,(半)海苔鹽迷你蘇打餅120g(以包計),(半)綜合半成品,蘇打餅包裝,A34
